SurfaceWindGustsMph,ZeroToTenLiquidSoilMoisturePercent,TenToFortyLiquidSoilMoisturePercent,FortyToOneHundredLiquidSoilMoisturePercent,SurfaceTemperatureFahrenheit,SurfaceDewpointTemperatureFahrenheit,SurfaceWetBulbTemperatureFahrenheit,RelativeHumidityPercent,brightness,bright_t31,frp
26.3,14.5,24.6,25.5,70.5,50.5,58.3,48,354.0,298.3,7.8
15.4,14.5,24.7,25.5,47.5,47.0,47.2,98,311.5,291.4,37.3
24.4,14.4,24.5,25.4,56.9,53.7,54.9,89,367.0,301.1,13.6
6.6,14.2,21.5,22.6,57.6,43.0,50.0,59,341.3,311.3,47.0
29.7,12.6,19.5,20.9,64.8,49.6,55.8,57,315.1,289.0,4.8
24.2,14.7,22.8,23.7,58.2,55.9,56.8,92,344.0,296.0,42.5
15.4,12.6,18.2,19.6,74.3,51.5,60.3,45,320.6,290.8,2.2
18.3,14.8,21.9,23.0,59.8,52.2,55.2,75,338.9,291.0,9.9
16.1,13.9,22.5,23.7,51.4,51.0,51.3,99,308.1,292.4,45.4
14.5,14.3,21.4,22.6,57.2,50.9,53.5,80,342.5,298.9,123.6
24.4,14.4,24.4,25.3,64.6,51.5,56.9,63,330.3,327.0,29.5
19.4,12.9,19.1,20.5,72.0,51.2,59.3,48,359.5,310.5,83.3
33.7,12.6,20.4,21.8,55.2,49.8,52.2,82,343.9,296.3,8.6
28.0,14.6,24.3,25.3,63.2,56.4,58.9,79,352.0,305.3,198.3
29.9,14.4,24.4,25.3,50.4,49.7,50.0,97,314.5,290.3,17.6
42.6,14.8,21.7,22.9,54.8,49.9,52.0,84,354.7,296.5,16.6
28.4,15.0,24.0,24.8,56.5,51.1,53.4,82,296.1,285.3,2.7
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,319.4,293.4,15.7
22.6,15.1,23.2,24.1,60.6,50.7,54.9,70,307.7,292.3,1.5
29.0,14.6,23.5,24.4,61.6,58.7,59.7,91,352.0,300.7,16.8
28.1,12.5,21.3,22.7,55.5,54.2,54.7,95,334.8,296.2,48.7
11.6,13.9,22.5,23.7,55.2,54.5,54.8,98,367.0,299.2,22.2
15.9,14.2,21.0,22.2,53.6,50.2,51.6,88,333.8,302.3,3.2
24.0,14.2,24.4,25.3,69.1,53.7,59.5,58,329.1,296.0,5.4
28.5,14.6,21.2,22.4,59.4,50.7,54.3,73,367.0,310.2,12.6
13.2,15.0,22.5,23.4,56.5,54.6,55.3,93,367.0,328.3,149.7
13.2,12.6,19.2,20.6,61.0,52.2,56.1,74,331.2,292.0,5.0
23.2,12.5,22.3,23.6,80.0,45.1,59.5,29,344.9,305.3,76.0
17.6,14.0,22.4,23.5,60.4,50.1,54.4,69,309.8,283.6,1.5
36.1,14.7,24.0,24.8,57.3,53.9,55.3,89,334.9,297.8,12.4
33.7,12.6,20.4,21.8,55.2,49.8,52.2,82,367.0,301.8,11.5
18.1,15.2,23.4,24.2,59.2,52.6,55.3,79,320.2,287.5,3.6
18.0,14.8,23.6,24.5,62.7,58.0,59.7,85,343.0,301.4,11.3
23.8,14.8,23.5,24.4,65.1,53.0,57.7,65,335.3,292.9,2.5
16.5,14.6,21.8,22.9,57.0,49.3,52.6,75,319.2,282.4,26.9
16.8,12.7,19.3,20.6,82.5,39.2,58.5,22,301.1,290.0,1.7
31.3,12.5,21.6,23.0,64.4,53.1,57.5,66,336.3,298.1,6.6
20.8,14.3,23.3,24.3,70.1,58.1,62.6,67,303.9,291.9,1.6
20.6,15.0,22.5,23.4,68.6,51.9,58.4,55,308.6,291.6,1.7
21.5,14.6,24.6,25.5,63.8,52.8,57.2,68,340.9,310.0,30.9
32.1,15.1,23.1,24.0,58.7,51.0,54.2,76,296.7,284.2,1.5
14.0,13.9,23.9,24.9,57.7,50.3,53.5,77,316.7,295.3,17.4
33.6,12.5,21.3,22.7,48.7,47.5,48.1,96,318.9,299.3,46.6
17.1,14.9,23.1,23.9,64.6,54.1,58.0,69,336.7,290.5,2.4
35.0,12.4,19.4,20.8,52.0,50.4,51.1,94,350.1,292.1,76.3
19.0,14.0,24.5,25.4,66.3,53.6,58.9,65,340.8,293.9,44.9
12.8,14.1,23.5,24.5,57.2,56.4,56.7,97,339.2,304.3,37.9
23.0,12.5,21.8,23.1,65.4,53.2,58.3,66,349.2,322.5,57.4
43.6,14.8,21.8,22.9,56.9,49.0,52.4,75,367.1,295.9,143.6
17.3,14.8,21.9,22.9,56.5,53.6,54.9,91,351.7,306.8,66.2
27.6,14.8,24.0,24.8,57.1,54.5,55.5,91,367.0,301.4,10.2
21.6,12.8,18.8,20.1,83.3,43.8,60.1,25,322.9,293.2,5.1
22.4,12.5,21.4,22.8,60.4,49.6,54.2,68,303.9,288.4,1.3
24.2,12.5,21.8,23.1,74.0,52.6,60.7,47,326.6,292.7,27.9
26.3,14.5,24.6,25.5,70.5,50.5,58.3,48,306.3,295.1,2.4
19.1,15.0,23.0,23.9,71.8,47.3,57.3,41,342.6,293.9,8.9
7.4,13.9,22.7,23.8,54.3,52.7,53.4,95,318.9,300.0,47.9
34.7,12.6,19.4,20.8,62.3,48.7,54.3,60,343.0,272.7,6.1
26.6,14.9,21.8,22.9,57.1,55.0,55.7,93,335.8,301.6,7.3
16.4,13.2,17.9,19.2,82.0,29.2,55.4,15,367.0,310.2,12.6
9.8,14.0,22.6,23.8,53.8,53.7,53.7,99,367.0,306.0,46.0
23.6,14.5,24.6,25.3,69.4,51.9,58.6,53,321.5,298.0,4.3
28.4,15.0,24.0,24.8,56.5,51.1,53.4,82,330.6,289.2,4.1
24.7,12.6,20.5,21.8,59.2,51.1,54.5,75,311.8,293.4,3.2
13.2,12.6,19.2,20.6,61.0,52.2,56.1,74,349.2,312.5,25.8
31.9,12.4,19.4,20.8,49.1,48.4,48.8,98,353.4,286.3,9.5
19.6,13.8,23.8,24.8,69.4,57.4,61.7,66,351.8,306.1,277.6
38.5,12.8,18.1,19.5,48.0,45.0,46.4,89,367.0,310.2,12.6
27.5,14.8,24.0,24.8,51.2,51.6,51.2,100,354.5,311.6,22.4
33.7,12.6,20.4,21.8,55.2,49.8,52.2,82,340.4,301.6,42.0
24.4,14.4,24.4,25.3,64.6,51.5,56.9,63,312.4,296.2,4.0
19.4,14.8,23.4,24.3,68.7,55.2,60.2,62,307.8,292.1,0.8
22.4,12.5,21.4,22.8,60.4,49.6,54.2,68,296.1,283.9,0.8
17.1,14.9,23.1,23.9,64.6,54.1,58.0,69,301.7,289.0,0.9
21.1,12.6,20.0,21.4,71.3,49.2,58.0,45,327.3,293.4,2.2
10.1,12.7,18.3,19.7,80.3,33.1,55.5,18,305.4,288.7,0.6
18.0,12.9,19.0,20.4,58.8,50.9,54.2,75,345.4,293.0,8.0
24.9,14.9,23.7,24.6,60.4,52.9,55.9,76,306.6,289.3,0.5
23.4,14.7,23.1,24.1,66.4,59.3,61.7,78,343.7,295.2,11.7
13.2,12.6,19.2,20.6,61.0,52.2,56.1,74,335.1,309.0,40.6
30.5,14.3,21.5,22.6,63.0,46.4,53.7,55,300.7,280.6,1.3
21.6,15.1,23.3,24.2,57.8,57.7,57.7,99,343.2,309.8,28.4
25.8,14.8,23.6,24.5,67.6,51.9,57.9,57,302.4,288.5,0.7
13.2,15.0,22.5,23.4,56.5,54.6,55.3,93,331.5,296.8,36.4
