SurfaceWindGustsMph,ZeroToTenLiquidSoilMoisturePercent,TenToFortyLiquidSoilMoisturePercent,FortyToOneHundredLiquidSoilMoisturePercent,SurfaceTemperatureFahrenheit,SurfaceDewpointTemperatureFahrenheit,SurfaceWetBulbTemperatureFahrenheit,RelativeHumidityPercent,brightness,bright_t31,frp
26.4,12.5,22.1,23.5,72.8,49.2,58.6,43,356.0,298.9,52.5
18.5,14.7,23.2,24.0,50.0,49.3,49.6,98,307.7,292.4,7.9
15.0,14.6,23.6,24.4,68.5,52.3,58.5,56,304.2,289.1,2.5
14.6,12.5,21.8,23.2,58.1,47.7,52.5,69,367.0,327.9,59.7
17.6,14.1,20.9,22.2,62.7,46.9,53.8,56,367.0,310.2,12.6
26.0,12.6,20.4,21.8,78.1,50.1,60.9,37,314.6,291.8,4.1
38.2,13.4,18.1,19.4,67.3,46.5,55.4,47,367.0,310.2,12.6
27.5,14.8,24.0,24.8,51.2,51.6,51.2,100,347.6,308.1,19.2
24.9,14.7,21.9,22.9,68.5,54.0,59.5,60,328.8,294.0,3.8
23.4,15.0,23.3,24.2,56.8,56.1,56.3,97,346.8,303.3,8.4
18.7,14.6,23.6,24.4,58.2,57.6,57.8,98,316.3,299.4,26.9
21.9,14.6,23.8,24.6,57.4,55.9,56.4,94,337.5,307.9,5.3
23.6,14.5,24.6,25.3,69.4,51.9,58.6,53,308.2,295.0,3.5
27.5,14.8,24.0,24.8,51.2,51.6,51.2,100,367.0,304.5,14.4
21.5,14.6,22.2,23.0,82.6,44.8,59.9,25,302.1,290.6,1.2
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,310.1,289.4,1.2
21.5,14.8,23.6,24.5,68.7,53.5,59.3,58,336.8,296.3,37.3
17.2,14.8,23.6,24.5,57.6,56.6,56.9,96,348.9,297.6,9.5
35.0,12.4,19.4,20.8,52.0,50.4,51.1,94,367.0,380.0,1281.5
24.9,14.7,21.9,22.9,68.5,54.0,59.5,60,312.2,288.5,54.5
23.5,14.5,22.2,23.3,63.3,53.0,57.1,69,343.0,272.7,6.1
13.4,14.2,24.4,25.2,65.8,51.2,56.9,59,347.0,297.8,8.8
18.3,14.8,21.9,23.0,59.8,52.2,55.2,75,348.2,289.1,26.2
14.2,14.5,21.9,23.0,62.0,57.1,58.8,84,359.5,310.5,83.3
25.8,14.8,23.6,24.5,67.6,51.9,57.9,57,305.1,291.7,1.6
25.0,14.4,24.5,25.4,59.3,53.7,55.9,82,335.5,309.8,59.3
24.7,14.2,24.4,25.3,67.5,53.7,59.1,62,356.0,307.6,74.6
26.3,14.5,24.6,25.5,70.5,50.5,58.3,48,310.0,293.6,20.1
19.8,15.3,22.4,23.4,59.3,57.9,58.4,95,367.0,307.5,9.6
36.0,15.0,23.1,24.0,53.6,51.8,52.5,94,308.6,285.4,15.8
10.9,13.9,24.5,25.4,52.5,51.9,52.1,98,355.7,319.8,58.0
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,330.9,292.2,27.8
29.5,12.6,20.3,21.7,74.8,53.4,61.3,47,326.4,300.2,46.7
26.0,12.5,22.1,23.5,66.0,46.4,54.8,49,329.5,296.3,140.7
9.1,13.8,22.7,23.8,57.9,57.7,57.7,99,319.4,304.7,12.8
17.3,14.8,21.9,22.9,56.5,53.6,54.9,91,367.0,317.3,30.8
13.1,15.0,22.5,23.4,62.4,55.1,58.0,78,320.3,300.8,46.8
22.4,14.1,23.7,24.7,66.2,52.3,58.0,62,356.4,296.7,11.0
24.0,12.6,20.1,21.5,69.9,54.2,60.1,57,320.7,300.8,50.9
3.6,12.5,22.4,23.7,55.0,49.5,52.5,86,371.6,309.6,472.3
35.2,14.8,24.0,24.8,54.8,53.8,54.2,96,342.5,306.8,16.3
15.0,14.7,23.6,24.5,57.7,52.8,54.8,83,300.0,288.7,1.2
26.7,14.4,23.9,24.9,64.7,52.5,57.5,65,312.9,289.0,1.7
15.5,14.2,23.9,24.9,54.3,51.8,52.8,91,320.2,289.3,20.3
17.3,14.8,21.9,22.9,56.5,53.6,54.9,91,345.5,308.4,12.7
24.4,14.4,24.4,25.3,64.6,51.5,56.9,63,313.1,296.4,69.3
24.8,12.5,21.5,22.9,63.5,44.4,52.9,50,341.3,292.8,4.1
12.3,12.5,22.4,23.7,79.7,47.5,60.4,32,337.6,303.9,54.9
20.8,12.9,19.1,20.5,70.3,48.1,57.2,45,324.0,290.5,1.8
26.3,12.5,21.7,23.1,81.5,46.0,60.7,30,314.9,292.5,117.6
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,307.8,285.0,1.8
30.3,12.6,21.2,22.6,63.5,46.3,53.7,53,321.3,291.5,97.3
12.4,14.6,21.1,22.3,75.7,38.1,55.9,27,367.0,310.2,12.6
19.3,14.1,23.7,24.7,65.1,50.7,56.8,61,343.7,296.0,234.7
10.4,14.0,22.6,23.8,52.3,52.2,52.2,99,367.0,306.0,46.0
27.3,12.6,20.0,21.4,58.7,54.4,56.0,85,367.0,301.8,7.0
16.5,14.9,23.4,24.4,66.6,54.1,58.9,64,306.8,294.4,2.6
19.6,14.3,23.9,24.9,60.9,56.8,58.2,86,326.4,296.7,97.7
26.6,14.9,21.8,22.9,57.1,55.0,55.7,93,342.3,305.3,27.7
28.1,12.6,21.1,22.5,63.1,49.0,54.9,60,345.6,296.4,3.1
24.3,13.8,23.8,24.8,68.5,50.9,57.8,53,323.6,292.1,5.8
35.2,14.8,24.0,24.8,54.8,53.8,54.2,96,348.9,314.7,50.2
10.3,14.0,22.6,23.8,54.9,54.0,54.4,97,341.6,305.5,61.0
17.2,14.8,23.6,24.5,57.6,56.6,56.9,96,331.4,295.7,44.2
26.0,14.5,24.6,25.4,74.3,50.1,59.3,42,351.7,297.3,8.2
34.1,14.5,24.0,24.8,56.9,54.6,55.4,91,334.3,298.3,6.6
24.8,12.5,21.5,22.9,63.5,44.4,52.9,50,339.8,291.8,5.1
